Given Address,House Number,Street,City,State,ZIP Code,Full Address,Exact Match
2525 SW 30TH ST OK,2525,Southwest 30th Street,Oklahoma City,Oklahoma,73119,"2525 Southwest 30th Street Oklahoma City, Oklahoma 73119",True
2837 SW 54TH PL OK,2837,Southwest 54th Place,Oklahoma City,Oklahoma,73119,"2837 Southwest 54th Place Oklahoma City, Oklahoma 73119",True
3125 NW 24TH ST OK,3125,Northwest 24th Street,Oklahoma City,Oklahoma,73107,"3125 Northwest 24th Street Oklahoma City, Oklahoma 73107",True
3128 NW 33RD ST OK,3128,Northwest 33rd Street,Oklahoma City,Oklahoma,73112,"3128 Northwest 33rd Street Oklahoma City, Oklahoma 73112",True
337 NW 79TH ST OK,337,Northwest 79th Street,Oklahoma City,Oklahoma,73114,"337 Northwest 79th Street Oklahoma City, Oklahoma 73114",True
112 NW 27TH ST OK,300,Northwest 27th Street,Moore,Oklahoma,73160,"300 Northwest 27th Street Moore, Oklahoma 73160",False
1121 SW 41ST ST OK,1121,Southwest 41st Street,Oklahoma City,Oklahoma,73109,"1121 Southwest 41st Street Oklahoma City, Oklahoma 73109",True
1220 NW 33RD ST OK,1220,Northwest 33rd Street,Oklahoma City,Oklahoma,73118,"1220 Northwest 33rd Street Oklahoma City, Oklahoma 73118",True
1438 NW 1ST ST OK,1438,Northwest 1st Street,Oklahoma City,Oklahoma,73106,"1438 Northwest 1st Street Oklahoma City, Oklahoma 73106",True
1616 NE 14TH ST OK,1616,Northeast 14th Street,Oklahoma City,Oklahoma,73117,"1616 Northeast 14th Street Oklahoma City, Oklahoma 73117",True
2520 NW 15TH ST OK,2520,Northwest 15th Street,Lawton,Oklahoma,73507,"2520 Northwest 15th Street Lawton, Oklahoma 73507",True
440 NW 110TH ST OK,11098,Millbrook Lane,Oklahoma City,Oklahoma,73162,"11098 Millbrook Lane Oklahoma City, Oklahoma 73162",False
2545 CASHION PL OK,2545,Cashion Place,Oklahoma City,Oklahoma,73112,"2545 Cashion Place Oklahoma City, Oklahoma 73112",True
2601 N MCMILLAN AVE OK,2601,North McMillan Avenue,Oklahoma City,Oklahoma,73008,"2601 North McMillan Avenue Oklahoma City, Oklahoma 73008",True
2728 NE SUCCESS ST OK,2728,Northeast Success Street,Oklahoma City,Oklahoma,73111,"2728 Northeast Success Street Oklahoma City, Oklahoma 73111",True
1101 LOMBARDY RD OK,1101,Lombardy Road,Oklahoma City,Oklahoma,73118,"1101 Lombardy Road Oklahoma City, Oklahoma 73118",True
1104 NE 50TH ST OK,1104,Northeast 50th Street,Oklahoma City,Oklahoma,73111,"1104 Northeast 50th Street Oklahoma City, Oklahoma 73111",True
1160 NW 89TH ST OK,1160,Northwest 89th Street,Oklahoma City,Oklahoma,73114,"1160 Northwest 89th Street Oklahoma City, Oklahoma 73114",True
1501 NW 179TH ST OK,1501,Northwest 179th Street,Oklahoma City,Oklahoma,73012,"1501 Northwest 179th Street Oklahoma City, Oklahoma 73012",True
1501 NW 179TH TER OK,1501,Northwest 179th Terrace,Oklahoma City,Oklahoma,73012,"1501 Northwest 179th Terrace Oklahoma City, Oklahoma 73012",True
1513 NW 20TH ST OK,1513,Northwest 20th Street,Lawton,Oklahoma,73507,"1513 Northwest 20th Street Lawton, Oklahoma 73507",True
2109 SW 28TH ST OK,2109,Southwest 28th Street,Oklahoma City,Oklahoma,73108,"2109 Southwest 28th Street Oklahoma City, Oklahoma 73108",True
2351 W SHERIDAN AVE OK,2351,West Sheridan Avenue,Oklahoma City,Oklahoma,73107,"2351 West Sheridan Avenue Oklahoma City, Oklahoma 73107",True
2412 W SHERIDAN AVE OK,2412,West Sheridan Avenue,Oklahoma City,Oklahoma,73107,"2412 West Sheridan Avenue Oklahoma City, Oklahoma 73107",True
2421 NW 113TH PL OK,2421,Northwest 113th Place,Oklahoma City,Oklahoma,73120,"2421 Northwest 113th Place Oklahoma City, Oklahoma 73120",True
724 SW 56TH ST OK,724,Southwest 56th Street,Oklahoma City,Oklahoma,73109,"724 Southwest 56th Street Oklahoma City, Oklahoma 73109",True
813 NE 35TH ST OK,813,Northeast 35th Street,Oklahoma City,Oklahoma,73105,"813 Northeast 35th Street Oklahoma City, Oklahoma 73105",True
118 SE 27TH ST OK,118,Southeast 27th Street,El Reno,Oklahoma,73036,"118 Southeast 27th Street El Reno, Oklahoma 73036",True
313 SE 28TH ST OK,313,Southeast 28th Street,Oklahoma City,Oklahoma,73129,"313 Southeast 28th Street Oklahoma City, Oklahoma 73129",True
3205 S META AVE OK,3205,South Meta Avenue,Oklahoma City,Oklahoma,73119,"3205 South Meta Avenue Oklahoma City, Oklahoma 73119",True
5008 NW 29TH ST OK,5008,Northwest 29th Street,Oklahoma City,Oklahoma,73127,"5008 Northwest 29th Street Oklahoma City, Oklahoma 73127",True
724 SE 26TH ST OK,724,Southeast 26th Street,Oklahoma City,Oklahoma,73129,"724 Southeast 26th Street Oklahoma City, Oklahoma 73129",True
820 OAKDALE DR OK,820,Oakdale Drive,Oklahoma City,Oklahoma,73127,"820 Oakdale Drive Oklahoma City, Oklahoma 73127",True
101 NW 21ST ST OK,2098,Price Boulevard,Guymon,Oklahoma,73942,"2098 Price Boulevard Guymon, Oklahoma 73942",False
3404 PARKVIEW AVE OK,3404,South Parkview Avenue,Oklahoma City,Oklahoma,73119,"3404 South Parkview Avenue Oklahoma City, Oklahoma 73119",True
404 SW GRAND BLVD OK,404,Southwest Grand Boulevard,Oklahoma City,Oklahoma,73109,"404 Southwest Grand Boulevard Oklahoma City, Oklahoma 73109",True
5716 EVANBROOK TER OK,5716,Evanbrook Terrace,Oklahoma City,Oklahoma,73135,"5716 Evanbrook Terrace Oklahoma City, Oklahoma 73135",True
700 FLAMINGO AVE OK,7699,Northwest 6th Street,Oklahoma City,Oklahoma,73127,"7699 Northwest 6th Street Oklahoma City, Oklahoma 73127",False
1515 NW 32ND ST OK,House number not found,Northwest 32nd Street,City not found,Oklahoma,73065,"House number not found Northwest 32nd Street City not found, Oklahoma 73065",False
2640 SW 43RD ST OK,2640,Southwest 43rd Street,Lawton,Oklahoma,73505,"2640 Southwest 43rd Street Lawton, Oklahoma 73505",True
5229 S SUNNYLANE RD OK,5229,South Sunnylane Road,Oklahoma City,Oklahoma,73135,"5229 South Sunnylane Road Oklahoma City, Oklahoma 73135",True
101 NW 19TH ST OK,1899,Northwest Arlington Avenue,Lawton,Oklahoma,73507,"1899 Northwest Arlington Avenue Lawton, Oklahoma 73507",False
1000 CLOVER LN OK,1000,Clover Lane,Oklahoma City,Oklahoma,73131,"1000 Clover Lane Oklahoma City, Oklahoma 73131",True
1000 NE 58TH ST OK,1000,Northeast 58th Street,Oklahoma City,Oklahoma,73111,"1000 Northeast 58th Street Oklahoma City, Oklahoma 73111",True
1000 SW 127TH PL OK,1000,Southwest 127th Place,Oklahoma City,Oklahoma,73170,"1000 Southwest 127th Place Oklahoma City, Oklahoma 73170",True
10001 N MCKINLEY AVE OK,10001,North McKinley Avenue,Oklahoma City,Oklahoma,73114,"10001 North McKinley Avenue Oklahoma City, Oklahoma 73114",True
1001 NE 58TH ST OK,1001,Northeast 58th Street,Oklahoma City,Oklahoma,73111,"1001 Northeast 58th Street Oklahoma City, Oklahoma 73111",True
1002 CLOVER LN OK,1002,Clover Lane,Oklahoma City,Oklahoma,73131,"1002 Clover Lane Oklahoma City, Oklahoma 73131",True
10028 S WINSTON WAY OK,10028,South Winston Way,Oklahoma City,Oklahoma,73159,"10028 South Winston Way Oklahoma City, Oklahoma 73159",True
1003 SHAMROCK RD OK,1003,Shamrock Road,Oklahoma City,Oklahoma,73131,"1003 Shamrock Road Oklahoma City, Oklahoma 73131",True
10032 S WINSTON WAY OK,10032,South Winston Way,Oklahoma City,Oklahoma,73159,"10032 South Winston Way Oklahoma City, Oklahoma 73159",True
10036 SOUTHRIDGE TER OK,10036,Southridge Terrace,Oklahoma City,Oklahoma,73159,"10036 Southridge Terrace Oklahoma City, Oklahoma 73159",True
1004 CLOVER LN OK,1004,Clover Lane,Oklahoma City,Oklahoma,73131,"1004 Clover Lane Oklahoma City, Oklahoma 73131",True
1004 SW 156TH ST OK,1004,Southwest 156th Street,Oklahoma City,Oklahoma,73170,"1004 Southwest 156th Street Oklahoma City, Oklahoma 73170",True
1005 PRUITT DR OK,1005,Pruitt Drive,Oklahoma City,Oklahoma,73170,"1005 Pruitt Drive Oklahoma City, Oklahoma 73170",True
3000 NW 18TH ST OK,3000,Northwest 18th Street,Oklahoma City,Oklahoma,73107,"3000 Northwest 18th Street Oklahoma City, Oklahoma 73107",True
3101 NW 20TH ST OK,3101,Northwest 20th Street,Oklahoma City,Oklahoma,73107,"3101 Northwest 20th Street Oklahoma City, Oklahoma 73107",True
3116 SW 107TH TER OK,3116,Southwest 107th Terrace,Oklahoma City,Oklahoma,73170,"3116 Southwest 107th Terrace Oklahoma City, Oklahoma 73170",True
3728 NW 34TH ST OK,3728,Northwest 34th Street,Oklahoma City,Oklahoma,73112,"3728 Northwest 34th Street Oklahoma City, Oklahoma 73112",True
401 NW 34TH ST OK,401,Northwest 34th Street,Oklahoma City,Oklahoma,73118,"401 Northwest 34th Street Oklahoma City, Oklahoma 73118",True
401 NW 82ND ST OK,House number not found,Northwest 82nd Street,Lawton,Oklahoma,73505,"House number not found Northwest 82nd Street Lawton, Oklahoma 73505",False
4844 S BYPASS TER OK,N/A,N/A,N/A,N/A,N/A,"N/A N/A N/A, N/A N/A",False
5010 N KELLEY AVE OK,5010,North Kelley Avenue,Oklahoma City,Oklahoma,73111,"5010 North Kelley Avenue Oklahoma City, Oklahoma 73111",True
5020 OVERBROOK RD OK,5020,Overbrook Road,Oklahoma City,Oklahoma,73084,"5020 Overbrook Road Oklahoma City, Oklahoma 73084",True
529 NW 25TH ST OK,529,Northwest 25th Street,Lawton,Oklahoma,73505,"529 Northwest 25th Street Lawton, Oklahoma 73505",True
5320 BROOKDALE DR OK,5304,Brookdale Drive,Oklahoma City,Oklahoma,73135,"5304 Brookdale Drive Oklahoma City, Oklahoma 73135",False
5325 BRIARWOOD DR OK,5325,South Briarwood Drive,Oklahoma City,Oklahoma,73135,"5325 South Briarwood Drive Oklahoma City, Oklahoma 73135",True
6309 CHRISTON CT OK,6309,Christon Court,Oklahoma City,Oklahoma,73118,"6309 Christon Court Oklahoma City, Oklahoma 73118",True
1129 SW 40TH ST OK,1129,Southwest 40th Street,Oklahoma City,Oklahoma,73109,"1129 Southwest 40th Street Oklahoma City, Oklahoma 73109",True
1130 NE 15TH ST OK,1130,Northeast 15th Street,Oklahoma City,Oklahoma,73117,"1130 Northeast 15th Street Oklahoma City, Oklahoma 73117",True
1132 SW 37TH ST OK,1132,Southwest 37th Street,Oklahoma City,Oklahoma,73109,"1132 Southwest 37th Street Oklahoma City, Oklahoma 73109",True
1133 SW 28TH ST OK,1133,Southwest 28th Street,Oklahoma City,Oklahoma,73109,"1133 Southwest 28th Street Oklahoma City, Oklahoma 73109",True
1045 SW 51ST ST OK,1045,Southwest 51st Street,Oklahoma City,Oklahoma,73109,"1045 Southwest 51st Street Oklahoma City, Oklahoma 73109",True
105 NW 20TH ST OK,House number not found,North Broadway Avenue,Oklahoma City,Oklahoma,73103,"House number not found North Broadway Avenue Oklahoma City, Oklahoma 73103",False
10500 S CEMETERY RD OK,10500,South Cemetery Road,Oklahoma City,Oklahoma,73064,"10500 South Cemetery Road Oklahoma City, Oklahoma 73064",True
10513 NW 42ND CIR OK,2697,Northwest 42nd Circle,Oklahoma City,Oklahoma,73112,"2697 Northwest 42nd Circle Oklahoma City, Oklahoma 73112",False
10605 S WINSTON WAY OK,10605,South Winston Way Street,Oklahoma City,Oklahoma,73170,"10605 South Winston Way Street Oklahoma City, Oklahoma 73170",True
10805 WHITE OAK CANYON RD OK,10805,White Oak Canyon Road,Oklahoma City,Oklahoma,73162,"10805 White Oak Canyon Road Oklahoma City, Oklahoma 73162",True
10900 GREYSTONE AVE OK,10900,Greystone Avenue,Oklahoma City,Oklahoma,73120,"10900 Greystone Avenue Oklahoma City, Oklahoma 73120",True
10900 N BLACKWELDER AVE OK,10900,North Blackwelder Avenue,Oklahoma City,Oklahoma,73120,"10900 North Blackwelder Avenue Oklahoma City, Oklahoma 73120",True
1101 SW 126TH ST OK,1101,Southwest 126th Street,Oklahoma City,Oklahoma,73170,"1101 Southwest 126th Street Oklahoma City, Oklahoma 73170",True
1104 NE 19TH ST OK,1104,Northeast 19th Street,Moore,Oklahoma,73160,"1104 Northeast 19th Street Moore, Oklahoma 73160",True
1111 N ANITA AVE OK,1111,North Anita Avenue,Oklahoma City,Oklahoma,73127,"1111 North Anita Avenue Oklahoma City, Oklahoma 73127",True
1112 NE 19TH ST OK,1112,Northeast 19th Street,Moore,Oklahoma,73160,"1112 Northeast 19th Street Moore, Oklahoma 73160",True
112 ALLENHURST AVE OK,112,Allenhurst Avenue,Oklahoma City,Oklahoma,73114,"112 Allenhurst Avenue Oklahoma City, Oklahoma 73114",True
112 NW 28TH ST OK,112,Northwest 28th Street,Oklahoma City,Oklahoma,73103,"112 Northwest 28th Street Oklahoma City, Oklahoma 73103",True
112 SE 57TH ST OK,112,Southeast 57th Street,Oklahoma City,Oklahoma,73129,"112 Southeast 57th Street Oklahoma City, Oklahoma 73129",True
11217 N BLACKWELDER AVE OK,11217,North Blackwelder Avenue,Oklahoma City,Oklahoma,73120,"11217 North Blackwelder Avenue Oklahoma City, Oklahoma 73120",True
1124 NE 19TH ST OK,1124,Northeast 19th Street,Moore,Oklahoma,73160,"1124 Northeast 19th Street Moore, Oklahoma 73160",True
1005 SW 67TH ST OK,1005,Southwest 67th Street,Lawton,Oklahoma,73505,"1005 Southwest 67th Street Lawton, Oklahoma 73505",True
10105 SOUTHRIDGE DR OK,10105,Southridge Drive,Oklahoma City,Oklahoma,73159,"10105 Southridge Drive Oklahoma City, Oklahoma 73159",True
1012 NW 46TH ST OK,House number not found,Northwest 46th Street,Oklahoma City,Oklahoma,73118,"House number not found Northwest 46th Street Oklahoma City, Oklahoma 73118",False
10149 SOUTHRIDGE TER OK,10149,Southridge Terrace,Oklahoma City,Oklahoma,73159,"10149 Southridge Terrace Oklahoma City, Oklahoma 73159",True
1016 NE 27TH ST OK,1016,Northeast 27th Street,Moore,Oklahoma,73160,"1016 Northeast 27th Street Moore, Oklahoma 73160",True
1017 NE 27TH ST OK,1017,Northeast 27th Street,Moore,Oklahoma,73160,"1017 Northeast 27th Street Moore, Oklahoma 73160",True
10208 N UNIVERSITY AVE OK,10208,North University Avenue,Oklahoma City,Oklahoma,73114,"10208 North University Avenue Oklahoma City, Oklahoma 73114",True
10208 S BLACKWELDER AVE OK,10208,South Blackwelder Avenue,Oklahoma City,Oklahoma,73139,"10208 South Blackwelder Avenue Oklahoma City, Oklahoma 73139",True
10209 BAY CT OK,10209,Bay Court,Oklahoma City,Oklahoma,73159,"10209 Bay Court Oklahoma City, Oklahoma 73159",True
10305 PLYMOUTH CT OK,10305,Plymouth Court,Oklahoma City,Oklahoma,73159,"10305 Plymouth Court Oklahoma City, Oklahoma 73159",True
10313 PLYMOUTH CT OK,10313,Plymouth Court,Oklahoma City,Oklahoma,73159,"10313 Plymouth Court Oklahoma City, Oklahoma 73159",True
10316 N UNIVERSITY AVE OK,10316,North University Avenue,Oklahoma City,Oklahoma,73114,"10316 North University Avenue Oklahoma City, Oklahoma 73114",True
1033 SW 103RD ST OK,1033,Southwest 103rd Street,Oklahoma City,Oklahoma,73139,"1033 Southwest 103rd Street Oklahoma City, Oklahoma 73139",True
10336 BIRKENHEAD RD OK,10336,Birkenhead Road,Oklahoma City,Oklahoma,73099,"10336 Birkenhead Road Oklahoma City, Oklahoma 73099",True
1037 SW 128TH ST OK,1037,Southwest 128th Street,Oklahoma City,Oklahoma,73170,"1037 Southwest 128th Street Oklahoma City, Oklahoma 73170",True
10405 BAYBERRY DR OK,10405,Bayberry Drive,Oklahoma City,Oklahoma,73162,"10405 Bayberry Drive Oklahoma City, Oklahoma 73162",True
1045 SW 27TH ST OK,1045,Southwest 27th Street,El Reno,Oklahoma,73036,"1045 Southwest 27th Street El Reno, Oklahoma 73036",True
221 SW 23RD ST OK,221,Southwest 23rd Street,El Reno,Oklahoma,73036,"221 Southwest 23rd Street El Reno, Oklahoma 73036",True
1224 NW 99TH ST OK,1224,Northwest 99th Street,Oklahoma City,Oklahoma,73114,"1224 Northwest 99th Street Oklahoma City, Oklahoma 73114",True
1224 SW 23RD ST OK,1224,Southwest 23rd Street,Wagoner,Oklahoma,74467,"1224 Southwest 23rd Street Wagoner, Oklahoma 74467",True
1224 SW 56TH ST OK,1224,Southwest 56th Street,Oklahoma City,Oklahoma,73109,"1224 Southwest 56th Street Oklahoma City, Oklahoma 73109",True
1225 NW 98TH ST OK,1225,Northwest 98th Street,Oklahoma City,Oklahoma,73114,"1225 Northwest 98th Street Oklahoma City, Oklahoma 73114",True
1229 SW 100TH TER OK,1229,Southwest 100th Terrace,Oklahoma City,Oklahoma,73139,"1229 Southwest 100th Terrace Oklahoma City, Oklahoma 73139",True
12304 SW 27TH ST OK,12304,Southwest 27th Street,Oklahoma City,Oklahoma,73099,"12304 Southwest 27th Street Oklahoma City, Oklahoma 73099",True
1200 NE 46TH ST OK,1200,Northeast 46th Street,Oklahoma City,Oklahoma,73111,"1200 Northeast 46th Street Oklahoma City, Oklahoma 73111",True
1200 NW 88TH ST OK,1200,Northwest 88th Street,Oklahoma City,Oklahoma,73114,"1200 Northwest 88th Street Oklahoma City, Oklahoma 73114",True
1201 NE 19TH ST OK,1201,Northeast 19th Street,Oklahoma City,Oklahoma,73111,"1201 Northeast 19th Street Oklahoma City, Oklahoma 73111",True
1201 NW 8TH ST OK,1201,Northwest 8th Street,Moore,Oklahoma,73170,"1201 Northwest 8th Street Moore, Oklahoma 73170",True
1201 SW 132ND PL OK,1201,Southwest 132nd Place,Oklahoma City,Oklahoma,73170,"1201 Southwest 132nd Place Oklahoma City, Oklahoma 73170",True
1201 SW 55TH ST OK,1201,Southwest 55th Street,Oklahoma City,Oklahoma,73109,"1201 Southwest 55th Street Oklahoma City, Oklahoma 73109",True
1204 CARTER DR OK,1204,Carter Drive,Oklahoma City,Oklahoma,73129,"1204 Carter Drive Oklahoma City, Oklahoma 73129",True
1204 NE 15TH ST OK,1204,Northeast 15th Street,Oklahoma City,Oklahoma,73117,"1204 Northeast 15th Street Oklahoma City, Oklahoma 73117",True
1205 NE 15TH ST OK,1205,Northeast 15th Street,Oklahoma City,Oklahoma,73117,"1205 Northeast 15th Street Oklahoma City, Oklahoma 73117",True
1209 NE 15TH ST OK,1209,Northeast 15th Street,Oklahoma City,Oklahoma,73117,"1209 Northeast 15th Street Oklahoma City, Oklahoma 73117",True
1210 NW 95TH ST OK,House number not found,Northwest 95th Street,Oklahoma City,Oklahoma,73114,"House number not found Northwest 95th Street Oklahoma City, Oklahoma 73114",False
